Term in CSV,Other Term in CSV,Similarity Score
gelobde rand,geplooide rand,85
geplooide rand,gelobde rand,85
geschulpt,geschut,88
"gelobde voet, geringde schacht","gewelfde voet, geringde schacht",92
"gewelfde voet, geringde schacht","gelobde voet, geringde schacht",92
"vlakke voet, balusterschacht","vlakke voet, dubbele baluster schacht",86
"vlakke voet, dubbele baluster schacht","vlakke voet, balusterschacht",86
"vlakke voet, dubbele baluster schacht","vlakke voet, genodeerde baluster schacht",86
"vlakke voet, genodeerde baluster schacht","vlakke voet, dubbele baluster schacht",86
"vlakke voet, genodeerde baluster schacht","vlakke voet, genodeerde schacht",87
"vlakke voet, genodeerde schacht","vlakke voet, genodeerde baluster schacht",87
materialen,Materialen,90
materialen,Lesmaterialen,87
been,beren,89
been,benen,89
glazuur,Glazuur,86
luster,clusters,86
natuurhars,natuurharsen,91
essehout,essenhout,94
Amerikaans grenehout,Amerikaans notehout,87
Amerikaans notehout,Amerikaans grenehout,87
vurenhout,Vurenhout,89
keramiek,Ceramiek,88
aardewerk,aardwerk,94
majolica,majolica's,89
plateel,Plateel,86
stekel,strekels,86
veren,verven,91
kruidnagel,kruisnagel,90
perspex,Perspex,86
plastic,Plastic,86
plastic,plastics,93
dierlijke lijmen,Dierlijke lijm,87
beenderlijm,Beenderlijm,91
huidenlijm,Huidenlijm,90
plantaardige lijmen,Plantaardige lijm,89
natuurharsen,natuurhars,91
rijstlijm,krijtlijm,89
synthetische lijmen,Synthetische lijm,89
polyvinylacetaatlijm,polyvinyl acetaat,86
gouddraad,Gouddraad,89
plaatijzer,platijzers,90
staal,stal,89
staaldraad,metaaldraad,86
plate,pate,89
plate,platen,91
mineralen,Mineralen,89
mortel,motel,91
mortel,mortels,92
basterd-cementmortel,basterd-cement-trasmortel,89
basterd-cement-trasmortel,basterd-cementmortel,89
cementmortel,Cementmortel,92
metselmortel,Metselmortels,88
vloermortel,voegmortel,86
voegmortel,Voegmortel,90
voegmortel,vloermortel,86
parel,parels,91
pate,plate,89
perkament,Perkament,89
perkament,perkamenten,90
gele pigmenten,groene pigmenten,87
groene pigmenten,gele pigmenten,87
groene pigmenten,rode pigmenten,87
rode pigmenten,groene pigmenten,87
loodwit,Loodwit,86
zinkwit,Zinkwit,86
plantaardig zwart,plantaardige was,85
roet,rozet,89
collageen,collage,88
kunststeen,Kunststeen,90
baksteen,bakstenen,94
Belgische steen,Belgische leien,87
Friese steen,Friese stallen,85
holle baksteen,volle baksteen,93
molersteen,molensteen,90
molersteen,molenstenen,86
nievelsteen,Gevelsteen,86
straatstenen,Straatsteen,87
volle baksteen,holle baksteen,93
vormstukken,vloerstukken,87
gasbeton,Gasbeton,88
afzettingsgesteenten,Omzettingsgesteenten,90
Baumberger steen,Baumberger zandsteen,89
Doornikse steen,Doornikse hardsteen,88
hardsteen,haardstenen,90
Travertin,Travertijn,95
kleischalie,kleinschalig,87
metamorfgesteente,Metamorf gesteente,91
metamorfgesteente,Metamorfe gesteenten,86
leisteen,Pleisteren,89
Belgische leien,Belgische steen,87
groene leisteen,rode leisteen,86
rode leisteen,groene leisteen,86
marmer,marmeren,86
broccatellone,brocatello,87
Eleusinisch marmer,lesbisch marmer,85
lesbisch marmer,Eleusinisch marmer,85
roze Tennessee-marmer,Tennessee-marmer,86
brocatello,broccatellone,87
Tennessee-marmer,roze Tennessee-marmer,86
stollingsgesteenten,Stollingsgesteente,92
stollingsgesteenten,Stollingsgesteenten,95
zwart Zweeds graniet,wit Zweeds graniet,89
rood Scandinavisch graniet,rose Scandinavisch graniet,92
rose Scandinavisch graniet,rood Scandinavisch graniet,92
wit Zweeds graniet,zwart Zweeds graniet,89
tefriet,Tefriet,86
brokaat,Brokaat,86
elastiek,Plastiek,88
goudleer,Goudleer,88
kant,kan,86
laken,lakken,91
laken,aken,89
zijde,zijden,91
silicaatverf,Silicaatverf,92
synthetische harsverf,Synthetische harsen,85
tempera,eitempera,88
ei-olie tempera,olie tempera,89
eitempera,tempera,88
olie tempera,ei-olie tempera,89
vezels,ezels,91
katoen,kantoren,86
katoen,kaptomen,86
cochenillewas,cochenille,87
plantaardige was,plantaardig zwart,85
polyvinyl acetaat,polyvinylacetaatlijm,86
standgreppels,wandgreppels,88
haren,harren,91
haren,harpen,91
haren,harten,91
haren,harken,91
klapperstenen,knappersteen,88
klingen,Klingen,86
klingen,klienen,86
klingen,klinken,86
klingen,klingkern,88
palenrijen,palenrij,89
palissaden,palissades,90
gebouwde omgeving,Gebouwde omgeving,94
klokkenstoel,klokkestoel,96
klokkenstoel,klokkenspel,87
klokkenstoel,klokkenstoelen,92
klokkenstoel,klokkestoelen,88
koorschot,Voorschot,89
aanslagstijlen,slagstijlen,88
afdrukinrichtingen,Bakinrichtingen,85
afdrukinrichtingen,badinrichtingen,85
baren,barken,91
balansen,balanten,88
bewegingsmechanismen,bedieningsmechanismen,88
binnenhoofden,buitenhoofden,85
binnenhoofden,binnenboorden,85
bolders,polders,86
bolders,zolders,86
buitenhoofden,binnenhoofden,85
cremaillièren,cremaillères,88
deurkassen,deurkasten,90
deurkassen,roldeurkassen,87
gebinten,gebint,86
gebinten,binten,86
grondbalken,grondarken,86
haalijzers,halsijzers,90
heugelstangen,regelstangen,88
karbelen,korbelen,88
karbelen,kardelen,88
karbelen,karvelen,88
kloosterhouten,kroostelhouten,86
kloosterhouten,roosterhouten,89
kloosterhouten,kloosterhoven,89
kroostelhouten,kloosterhouten,86
kroostelhouten,roosterhouten,89
landhoofden,landhoofd,90
landhoofden,laadhoofden,91
mangaten,mamgaten,88
naalden,Naalden,86
paalfunderingen,paalfundering,93
paalfunderingen,funderingen,85
paalfunderingen,plunderingen,89
pendels,peddels,86
pen-en-gatverbindingen,pen-en-gat verbindingen,98
proppen,poppen,92
puntbalken,putbalken,95
puntbalken,spantbalken,86
rijbanen,rijnen,86
rijbanen,ijsbanen,88
roldeurkassen,deurkassen,87
roosterbalken,roerbalken,87
sceeden,scheden,86
schepraderen,schepraddeuren,92
schoorbalken,schoorpalen,87
schoorbalken,schotbalken,87
schoorpalen,schoorbalken,87
sillen,spillen,92
slagbalken,langsbalken,86
slagbalken,slagblokken,86
slagdrempels,slagdorpels,87
slaggebinten,slagbinten,91
slijkbalken,slikbalken,95
slijkhouten,slekhouten,86
slijkhouten,slikhouten,95
slijkhouten,lijfhouten,86
slikbalken,slijkbalken,95
slikbalken,sluitbalken,86
slikbalken,sluisbalken,86
sluisassen,luiassen,89
sluisgangen,sluitstangen,87
sluishoofdwanden,sluishoofden,86
sluiskolkassen,sluiskolken,88
sluisvloeren,maalsluisvloeren,86
sluitbalken,slikbalken,86
sluitbalken,luibalken,90
sluitbalken,sluisbalken,91
sluitbalken,stutbalken,86
sluitstangen,sluisgangen,87
solderingen,zolderingen,91
sponningen,mossponningen,87
stempelbalken,tempelbalken,96
stempelramen,stempelen,86
steunberen,steunveren,90
steunconstructies,Steenconstructie,85
steunveren,steunberen,90
stortebedden,stortbedden,96
strekhouten,slekhouten,86
strekhouten,trekbouten,86
tijveren,tieren,86
tractoren,traptoren,89
vleugelmuren,vleugeldeuren,88
vleugelwanden,vleugellanzen,85
vloerconstructies,vloerconstructie,97
wakers,Bewakers,86
waterkozijnen,wachtkozijnen,85
watersloven,waterlopen,86
wolfconstructies,Gewelfconstructie,85
wolfconstructies,constructies,86
kappen,kapen,91
kappen,klappen,92
koningssporen,Bewoningssporen,86
raven,graven,91
korte zwaarden,kortzwaarden,92
lanen,lanzen,91
lanen,landen,91
roeden,roede,91
bandgarden,randgaarden,86
welen,wielen,91
kruishouten,kruihouten,95
kruishouten,kluishouten,91
spillen,sillen,92
onderlanen,onderplaten,86
algemene molenonderdelen,algemene onderdelen,88
aandrijfas,aandrijfassen,87
zadeldak,Zadeldak,88
zadeldak,zadeldaken,89
stelling,stellingen,89
beschieting,beschietingen,92
staande werk,gaande werk,87
staande werk,staande werken,92
achtkantstijl,achtkantstijlen,93
bovenhuis,botenhuis,89
goot,groot,89
gording,gordijn,86
gording,gordingen,88
gordingen,gordijnen,89
gordingen,gording,88
gordingen,gordingsen,95
graansilo,Graansilo,89
houtloods,Zoutloods,89
houtloods,houtloodsen,90
invaart,invaarten,88
kaar,kar,86
keerkuip,keerkuipen,89
kroonlijst,kroonlijsten,91
kruilier,kruiliers,94
kruivloer,kruivloeren,90
luizolder,luizolders,95
maalzolder,maalzolders,95
molenaarswoning,molenaarswoningen,94
molenlichaam,molenlichamen,88
molenrestant,Molenrestant,92
molenrestant,molenrestanten,92
molenromp,Molenromp,89
molenromp,molenrompen,90
molenschuur,bollenschuur,87
molenschuur,molenschuren,87
onderdeur,onderdeuren,90
ondertafelement,ondertafelementen,94
overring,overringen,89
penanten,pennen,86
penanten,pengaten,88
penbalk,penbalken,88
schepradkast,schepradkasten,92
schoorsteen,Schoorstenen,87
schoren,scholen,86
schoren,scharen,86
schoren,scheren,86
schoren,schoten,86
schoren,schuren,86
sleephelling,scheepshelling,85
sleephelling,sleephellingen,92
sleepkruiwerk,sleepluiwerk,88
sleepkruiwerk,sleepkruiwerken,93
staart,staarten,86
staartbalk,staartbalken,91
standerd,standerden,89
stellingdeel,stellingdelen,88
stellingdeel,stellingdeuren,85
stormschild,stormschilden,92
toren,oren,89
uitbouw,Uitbouw,86
uitbouw,uitbouwen,88
uitwateringssluis,uitwateringssluizen,89
vangstukken,vangstokken,91
veldkruis,Veldkruis,89
vijzelbak,vijzelbakken,86
vleugel,vlegels,86
vleugel,vleugels,93
vlonder,vlonders,93
wachtdeur,wachtdeuren,90
windroos,Windroos,88
zolderbalken,krukzolderbalken,86
gaande werk,staande werk,87
gaande werk,gaande werken,92
bovenwiel,Bovenwiel,89
bovenwiel,bovenwielen,90
gangwerk,gangwerken,89
gevlucht,vlucht,86
gevlucht,gevluchten,89
haspelwiekenkruis,haspelwiekenkruizen,89
kruias,kruis,91
kruibank,kruibanken,89
luiwerk,Luiwerk,86
luiwerk,luiwerken,88
maalstoel,Maalstoel,89
maalstoel,maalstoelen,90
maalwerk,maaswerk,88
maalwerk,maalwerken,89
molensteen,Molenstenen,86
molensteen,molersteen,90
molensteen,molenkasten,86
molensteen,molenstenen,95
onderbonkelaar,onderbonkelaars,97
pelsteen,pensteen,88
pelsteen,pelsen,86
pelsteen,pelstenen,94
pelsteen,peulstenen,89
pelwerk,pelwerken,88
rondsel,rondsels,93
rondsel,ronsels,86
spoorwiel,spoorwielen,90
steen,steken,91
steen,stelen,91
steen,stenen,91
steen,stegen,91
steenrondsel,steenrondsels,96
steenspil,steenspillen,86
vijzel,vijzels,92
vijzel,vijzelas,86
vijzelas,vijzels,93
vijzelas,vijzel,86
vijzelkom,vijzelkommen,86
vlucht,gevlucht,86
vlucht,vluchten,86
waaierpomp,waaierpompen,91
beschoten,beschot,88
beschoten,schoten,88
beschot,beschoten,88
dekbalkgebint,dekbalkgebinten,93
dorpel,dorpels,92
duiker,duikers,92
entree,entrees,92
instapdeurtje,instapdeurtjes,96
lichtwerk,lichtewerken,86
lichtwerk,lichtwerken,90
middel,middelen,86
middenloop,middenlopen,86
molenerf,Molenerf,88
motorlichaam,motorlichamen,88
pensteen,pelsteen,88
pensteen,penstenen,94
pensteen,penselen,88
puntje,puntjes,92
ribben,kribben,92
roede,roeden,91
rollenkruiwerk,rollenkruiwerken,93
sagebien,sagebienen,89
schuifraam,Schuifraam,90
schuifraam,schuiframen,86
sleepluiwerk,sleepkruiwerk,88
sleepluiwerk,sleepluiwerken,92
transmissieas,transmissieassen,90
tussenboezem,tussenboezems,96
vangtouw,vangtouwen,89
vlerken,vloeren,86
wervel,wervels,92
aandrijfassen,aandrijfas,87
achtkantstijlen,achtkantstijl,93
achtkantstijlen,onderachtkantstijlen,86
ankerbalken,hanebalken,86
askoppen,koppen,86
baarden,haarden,86
baarden,Paarden,86
baarden,Kaarden,86
baarden,paarden,86
baarden,gaarden,86
benen,been,89
billen,brillen,92
binnenstoelen,binnenstevens,85
blikken,klikken,86
blikken,blokken,86
blikken,brikken,86
bloembakken,boombakken,86
bovenwielen,bovenwiel,90
broeken,boeken,92
burgemeesters,Burgemeester,88
burgemeesters,Burgemeesters,92
dammen,Afdammen,86
dekbalkgebinten,dekbalkgebint,93
dekbalkgebinten,kopbalkgebinten,87
dekkers,wekkers,86
dekschroten,hekschroten,91
dekstukken,piekstukken,86
demsels,deksels,86
dollenwielen,molenwielen,87
doken,dokken,91
dorpels,dorpel,92
draaivlonders,draaivonders,96
drabzakken,drankbakken,86
drankbakken,drabzakken,86
drankbakken,drinkbakken,91
drijfstangen,drijfgangen,87
dripzakken,druipbakken,86
dripzakken,druipzakken,95
droogkamers,roodkamers,86
druipbakken,dripzakken,86
druipbakken,druipzakken,91
druipzakken,dripzakken,95
druipzakken,druipbakken,91
duikers,Duikers,86
duikers,duiker,92
duimen,duimsen,92
duwregulateurs,regulateurs,88
dwangen,wrangen,86
dwarsdoorsneden,Verfdwarsdoorsnede,85
eekstenen,Gedenkstenen,86
eesten,geesten,92
eesten,feesten,92
eesten,leesten,92
enden,Eenden,91
entrees,entree,92
euveringstukken,geringstukken,86
ezels,ezel,89
ezels,vezels,91
fitsen,fietsen,92
flanken,planken,86
fokkespleten,fokspleten,91
fokspleten,fokkespleten,91
gaande werken,gaande werk,92
gaande werken,gaandewerkassen,86
gaande werken,staande werken,89
gaandewerkassen,gaande werken,86
gaffelwielen,rafelwielen,87
galerijen,galerie,88
galerijen,galeien,88
galerijen,gallerijen,95
gangwerken,gangwerk,89
gangwerken,hangwerken,90
gangwerken,vangwerken,90
gevluchten,gevlucht,89
gevluchten,vluchten,89
grendelhaken,gordelhaken,87
grendelklossen,garenklossen,85
grondarken,grondbalken,86
grutstenen,gruttenstenen,87
gruttenstenen,grutstenen,87
haalders,daalders,88
halfstofbakken,heelstofbakken,86
halsijzers,haalijzers,90
halslagerblokken,lagerblokken,86
halspannen,halfspanten,86
hamerbakken,hamerbakblokken,85
hamerbakken,hamerblokken,87
hamerbakblokken,hamerbakken,85
hamerbakblokken,hamerblokken,89
hamerblokken,hamerbakken,87
hamerblokken,hamerbakblokken,89
hamerblokken,stamperblokken,85
hamerblokken,hangerblokken,88
hanebalken,ankerbalken,86
hanebalken,hanigbalken,86
hanekammen,hangerkammen,91
hangers,Hangers,86
hangers,hangars,86
hangerkammen,hanekammen,91
hangijzers,wangijzers,90
hangwerken,handwerken,90
hangwerken,gangwerken,90
hangwerken,vangwerken,90
hangzolders,wanzolders,86
hanigbalken,hanebalken,86
hanigbalken,vangbalken,86
harren,haren,91
harpen,haren,91
harten,haren,91
haspellen,haspelmolens,86
haspelkruizen,pelkruizen,87
haspelkruizen,hagelkruizen,88
haspelmolens,haspellen,86
haspelmolens,pelmolens,86
haspelspillen,pelspillen,87
haspelwiekenkruizen,haspelwiekenkruis,89
heelbakken,meelbakken,90
heelstofbakken,halfstofbakken,86
hefborden,verhefborden,86
hefstoelen,verhefstoelen,87
heiramen,hermen,86
heistokken,hekstokken,90
heistokken,scheistokken,91
hekkewiggen,hekwiggen,90
heklatten,deklatten,89
hekschroten,dekschroten,91
hekstijltjes,hoekstijltjes,96
hekstokken,heistokken,90
hekwerken,hekwerk,88
hekwiggen,hekkewiggen,90
hellen,schellen,86
heugels,heuvels,86
hoedekassen,hoedenkasten,87
hoedenkasten,hoedekassen,87
hoekijzers,hoefijzers,90
hoekstijlen,nokstijlen,86
hoekstijltjes,hekstijltjes,96
hoesken,hoeken,92
hogelijnen,kogelrijnen,86
houders,houwers,86
houders,schouders,88
houwers,houders,86
instapdeurtjes,instapdeurtje,96
invaarten,invaart,88
invaarten,vaarten,88
kaken,aken,89
kaken,kraken,91
kaapstanders,kaapstander,96
karen,karren,91
kalven,kalkoven,86
kammen,krammen,92
kamerijkschatten,kerkschatten,86
kamgaten,mamgaten,88
kantdelen,kantelen,94
kantelhaken,kanthaken,90
kanthaken,kantelhaken,90
kaprollen,katrollen,89
kardoezen,kroezen,88
karntonnen,kanonnen,89
katrollen,kaprollen,89
kepen,kespen,91
keerklampen,reeklampen,86
keerkuipen,keerkuip,89
keerstijlen,kokerstijlen,87
keerstijlen,reestijlen,86
keerstijlen,weerstijlen,91
kerven,erven,91
kettingrollen,kettingmolen,88
keuningsbalken,koningsbalken,89
keuningshouten,koningshouten,89
keuningsstijlen,koningsstijlen,90
keuningsstokken,koningsstokken,90
keuningsstrijkers,koningsstrijkers,91
keuvelensbalken,voorkeuvelensbalken,88
kikkers,knikkers,93
klampen,klompen,86
klampen,klappen,86
klapstukken,kopstukken,86
kleppen,klappen,86
kleplagersteunen,lagersteunen,86
klepmechanismen,mechanismen,85
klienen,klingen,86
klienen,klinken,86
klikken,klokken,86
klikken,blikken,86
klikken,klinken,86
klinken,klingen,86
klinken,klienen,86
klinken,klikken,86
klinken,klinieken,88
klinken,klingkern,88
klissen,Glissen,86
klissen,krissen,86
klissen,klossen,86
klissen,glissen,86
koelkuipen,spoelkuipen,86
kogelrijnen,hogelijnen,86
kokerbalken,moerbalken,86
kokerbalken,roerbalken,86
kokerplanken,koekplanken,87
kokerstijlen,kokerbijlen,87
kokerstijlen,keerstijlen,87
kokerstijlen,moerstijlen,87
koningen,woningen,88
koningsbalken,keuningsbalken,89
koningsbalken,koningsbintbalken,87
koningsbalken,koningsblokken,89
koningsbinten,koningsbintbalken,87
koningsbinten,koningsgebinten,93
koningsbintbalken,koningsbalken,87
koningsbintbalken,koningsbinten,87
koningsblokken,koningsbalken,89
koningsblokken,koningsstokken,86
koningsgebinten,koningsbinten,93
koningshouten,keuningshouten,89
koningsspillen,koningsstijlen,86
koningsstijlen,keuningsstijlen,90
koningsstijlen,koningsspillen,86
koningsstokken,keuningsstokken,90
koningsstokken,koningsblokken,86
koningsstrijkers,keuningsstrijkers,91
konen,Ikonen,91
konen,konten,91
koppen,askoppen,86
kopbalkgebinten,dekbalkgebinten,87
koppelbalken,koppelblokken,88
koppelbalken,pelbalken,86
koppelblokken,koppelbalken,88
koppellatten,koppelplaten,92
koppelplaten,koppellatten,92
koppelplaten,opperplaten,87
kopstukken,klapstukken,86
kopstukken,kuipstukken,86
kopstukken,topstukken,90
korbelen,karbelen,88
korendeuren,korenbeurzen,87
kortelingen,kortelingsgaten,85
kortelingsgaten,kortelingen,85
kotbalken,potbalken,89
koutwaterketels,waterketels,85
kraaienpoten,kraanpotten,87
kraanpotten,kraaienpoten,87
krabben,kribben,86
krabbelarmen,krabbelarmassen,89
krabbelarmassen,krabbelarmen,89
krabbelarmassen,krabbelassen,89
krabbelassen,krabbelarmassen,89
kranzen,kranen,92
kranswielen,ravenswielen,87
krekstoelen,preekstoelen,87
krommers,grommers,88
kroonijzers,rondijzers,86
kroonlijsten,kroonlijst,91
kroonwielen,kroonwielkammen,85
kroonwielkammen,kroonwielen,85
kruiassen,krissen,88
kruibanen,kruibanken,95
kruibanken,kruibank,89
kruibanken,kruibanen,95
kruibanken,kruisbalken,86
kruihaken,kruiken,88
kruihouten,kruishouten,95
kruihouten,kluishouten,86
kruikettingen,kruiskettingen,96
kruikettingen,luikettingen,88
kruiliers,kruilier,94
kruimechanismen,mechanismen,85
kruirollen,kuiprollen,90
kruizen,kruiken,86
kruisbalken,kruibanken,86
kruisbalken,kruisbasilieken,85
kruiskettingen,kruikettingen,96
kruiskettingen,luikettingen,85
kruistouwen,kruitouwen,95
kruiswerken,kruiwerken,95
kruiswerken,kruiskerken,91
kruitouwen,kruistouwen,95
kruivloeren,kruivloer,90
kruivloeren,kruivloerlassen,85
kruivloeren,krulmoeren,86
kruivloerlassen,kruivloeren,85
kruiwagens,kruiwagen,95
kruiwerken,kruiswerken,95
kruiwerken,kruiskerken,86
krukken,drukken,86
krukken,kruiken,86
krukpollen,krukspillen,86
krukspillen,krukpollen,86
krukzolderbalken,zolderbalken,86
krulmoeren,kruivloeren,86
kuiprollen,kruirollen,90
kuipschijven,kuipschuiven,92
kuipschuiven,kuipschijven,92
kuipstukken,kopstukken,86
kuipstukken,kimstukken,86
lagerblokken,halslagerblokken,86
lagerblokken,slagblokken,87
lagerblokken,hangerblokken,88
lagerhouten,slaghouten,86
lagersteunen,kleplagersteunen,86
lagerstoelen,leggerstoelen,88
langsbalken,slagbalken,86
langsbalken,lasbalken,90
langsbalken,vangbalken,86
lantaarnrepen,lantaarnpalen,85
lappen,klappen,92
lasbalken,langsbalken,90
lasbalken,blaasbalken,90
leesten,geesten,86
leesten,feesten,86
leesten,eesten,92
leggers,liggers,86
leggers,opleggers,88
leggers,loggers,86
leggerstoelen,lagerstoelen,88
lichtewerken,lichtwerk,86
lichtewerken,lichtwerken,96
lichtstangen,zwichtstangen,88
lichtstangen,lichtopstanden,85
lichtstokken,zwichtstokken,88
lichtwerken,lichtwerk,90
lichtwerken,lichtewerken,96
lichtwerken,lichtwerkkammen,85
lichtwerken,vlechtwerken,87
lichtwerkkammen,lichtwerken,85
liertrommels,luitrommels,87
liggers,leggers,86
liggers,loggers,86
looitrommels,luitrommels,87
loopschoepen,loopschoren,87
loopschoren,loopschoepen,87
lopers,kloppers,86
loperstenen,klopstenen,86
luien,luiken,91
luien,luiven,91
luiassen,lassen,86
luiassen,sluisassen,89
luibalken,sluitbalken,90
luibalken,sluisbalken,90
luibalken,puibalken,89
luiven,luien,91
luigaten,lulgaten,88
luigaten,kluisgaten,89
luigaten,luikgaten,94
luihefbomen,kluifbomen,86
luikettingen,kruikettingen,88
luikettingen,kruiskettingen,85
luikettingen,kettingen,86
luitouwen,uitbouwen,89
luitrommels,liertrommels,87
luitrommels,looitrommels,87
luiwerken,luiwerk,88
luizolders,luizolder,95
lulgaten,luigaten,88
paalwerken,maalwerken,90
paalwerken,ophaalwerken,91
paarden,haarden,86
paarden,Paarden,86
paarden,Kaarden,86
paarden,baarden,86
paarden,gaarden,86
pallen,palen,91
palstijlen,maalstijlen,86
palstokken,spanstokken,86
palstokken,paltrokken,90
passen,assen,91
peezen,pezen,91
pegels,Spiegels,86
pegels,spiegels,86
pelbalken,koppelbalken,86
pelbalken,penbalken,89
pelbalken,tempelbalken,86
pelkruizen,haspelkruizen,87
pelkruizen,veldkruizen,86
pelkuipen,spoelkuipen,90
pelsen,pelsteen,86
pelspillen,haspelspillen,87
pelstenen,Koppelstenen,86
pelstenen,pelsteen,94
pelstenen,penstenen,89
pelstenen,peulstenen,95
pelwerken,pelwerk,88
pelwerken,speelwerken,90
pennen,penanten,86
penbalken,penbalk,88
penbalken,pelbalken,89
penbalken,penterbalken,86
pengaten,penanten,88
penstenen,pensteen,94
penstenen,pelstenen,89
penstenen,Wapenstenen,90
peulstenen,pelsteen,89
peulstenen,pelstenen,95
pinnen,spinnen,92
pompramen,pomparmen,89
poorten,poortje,86
poorten,Poorten,86
poortplaten,potplaten,90
poortstokken,oorstokken,91
potbalken,kotbalken,89
potbalken,putbalken,89
potplaten,poortplaten,90
proken,proen,91
puddelijzers,pelijzers,86
puntjes,punters,86
puntjes,puntje,92
putbalken,puntbalken,95
putbalken,potbalken,89
putbalken,puibalken,89
maalbakken,maalvlakken,86
maalbakken,afvalbakken,86
maalkaartjes,maalkastjes,87
maalkastjes,maalkaartjes,87
maalsluisvloeren,sluisvloeren,86
maalstijlen,palstijlen,86
maalstoelen,maalstenen,86
maalstoelen,maalstoel,90
maalvlakken,maalbakken,86
maalwerken,maalwerk,89
maalwerken,paalwerken,90
maalzolders,maalzolder,95
manen,manden,91
manen,mannen,91
mamgaten,mangaten,88
mamgaten,kamgaten,88
mamgaten,mammegaten,89
mammegaten,mamgaten,89
mamringen,marmeringen,90
mannen,manen,91
mangels,maneges,86
meelbakken,heelbakken,90
meelbakken,meelzakken,90
meelringen,zegelringen,86
meelringklossen,ringklossen,85
meelzakken,meelbakken,90
middelen,middel,86
middelbalken,middenbalken,92
middelscheien,middenschepen,85
middenbalken,middelbalken,92
middenlopen,middenloop,86
middenstijlen,middenstallen,85
middenzomers,middenzomen,87
middenzomen,middenzomers,87
moerbalken,kokerbalken,86
moerbalken,vloerbalken,86
moerbalken,roerbalken,90
moerstijlen,kokerstijlen,87
molenbokken,rollenbokken,87
molenkasten,molensteen,86
molenlichamen,molenlichaam,88
molenlopen,molenrompen,86
molenrestanten,Molenrestant,85
molenrestanten,molenrestant,92
molenrompen,molenromp,90
molenrompen,molenlopen,86
molenschuren,bollenschuren,88
molenschuren,molenschuur,87
molensluizen,rollensluizen,88
molenwieken,molenwielen,91
molenwielen,dollenwielen,87
molenwielen,molenwieken,91
molenwielen,rosmolenwielen,88
motorlichamen,motorlichaam,88
napolionshoeden,Napoleonshoeden,87
naslagheien,slagheien,90
naslagsblokken,slagblokken,88
naslagsmeelbakken,slagmeelbakken,90
nokplanken,koekplanken,86
nokstijlen,hoekstijlen,86
nokstijlen,neostijlen,90
olieslagwerken,olieslagerijen,86
omslagen,slagen,86
onderachtkantstijlen,achtkantstijlen,86
onderbonkelaars,onderbonkelaar,97
onderdeuren,onderdeur,90
ondergoten,onderhouten,86
onderhoeken,onderhoektouwen,85
onderhoektouwen,onderhoeken,85
onderhouten,ondergoten,86
onderhouten,rondhouten,86
onderplaten,onderlanen,86
ondertafelementen,ondertafelement,94
ophaalwerken,paalwerken,91
opleggers,leggers,88
opperplaten,koppelplaten,87
opvulplankjes,vulplankjes,92
overringen,overring,89
ramen,rammen,91
ramen,pramen,91
rafelwielen,gaffelwielen,87
rattenvallen,kattevallen,87
ravenswielen,kranswielen,87
reebouten,redeboten,89
reeklampen,keerklampen,86
reepschijven,sleepschijven,88
reestijlen,keerstijlen,86
reestijlen,weerstijlen,86
regelstangen,heugelstangen,88
regelstangen,regeltandstangen,86
regeltandstangen,regelstangen,86
regulateurs,duwregulateurs,88
regulateurs,trekregulateurs,85
regulateurstangen,regulatorstangen,91
regulatorstangen,regulateurstangen,91
rembanden,roebanden,89
rembanden,armbanden,89
remkleppen,roerkleppen,86
revelingen,relingen,89
rietplanken,drieplanken,91
riffels,griffels,93
rijen,rijnen,91
rijen,rijpen,91
rijklampen,wrijfklampen,91
rijnen,rijbanen,86
rijnen,rijen,91
rijnen,rijnoren,86
rijnoren,rijnen,86
ringen,karingen,86
ringen,relingen,86
ringklossen,meelringklossen,85
ringveren,springveren,90
rinkellatten,rinketten,86
rinketten,rinkellatten,86
roebanden,rembanden,89
roebanden,roeibanen,89
roedegaten,roegaten,89
roedwiggen,roewiggen,95
roegaten,roedegaten,89
roeporringen,oorringen,86
roerbakken,Broeibakken,86
roerbakken,roerbalken,90
roerbakwieltjes,roerwieltjes,89
roerstokken,oorstokken,86
roerwerken,roosterwerken,87
roerwieltjes,roerbakwieltjes,89
roewiggen,roedwiggen,95
rollen,rollagen,86
rollen,rolpalen,86
rollagen,rollen,86
rollenbokken,molenbokken,87
rollenkruiwerken,rollenkruiwerk,93
rollensluizen,molensluizen,88
rolplattingen,plattingen,87
rolwielen,volwielen,89
rompen,ropen,91
rondijzers,kroonijzers,86
rondsels,rondsel,93
rondsels,ronsels,93
ronsels,rondsel,86
ronsels,rondsels,93
roodkamers,droogkamers,86
ropen,rompen,91
roosterhouten,kloosterhouten,89
roosterhouten,kroostelhouten,89
roosterwerken,roerwerken,87
rosmolenwielen,molenwielen,88
runstenen,runenstenen,90
schalmen,schalen,93
sagebienen,sagebien,89
schaarstokken,scheerstokken,85
schaarstokken,schortstokken,85
schaarstokken,schaakstukken,85
schachten,schachttoren,86
scharnieren,scharnierpennen,85
scharnierpennen,scharnieren,85
schavotten,schotten,89
schenen,schepen,86
schenen,schoenen,93
schenen,scheren,86
schenen,scheien,86
schenen,scheden,86
scheren,schepen,86
scheren,scharen,86
scheren,schoren,86
scheren,schenen,86
scheren,scheien,86
scheren,schuren,86
scheren,scheden,86
scheerbouten,scheerhouten,92
