term_in_csv,other_term,similarity_score
"onderwijs, beroepsuitoefening, organisaties (kunst) ; Nederland","onderwijs, beroepsuitoefening, organisaties (kunst) ; Italië",89
"onderwijs, beroepsuitoefening, organisaties (kunst) ; Nederland","onderwijs, beroepsuitoefening, organisaties (kunst) ; Duitsland",92
"onderwijs, beroepsuitoefening, organisaties (kunst) ; Nederland","onderwijs, beroepsuitoefening, organisaties (kunst)",89
"onderwijs, beroepsuitoefening, organisaties (kunst) ; Nederland","onderwijs, beroepsuitoefening, organisaties (kunst) ; Verenigde",92
organisaties van kunst en cultuur,organisaties van kunst en cultuur ; Nederland,85
"verzameling Heek, G.J. van","verzameling Eck, J. van",86
"verzameling Heek, G.J. van","verzameling Heel, M.G. van",88
verzameling Rijksuniversiteit Groningen,verzameling Rijksuniversiteit Leiden,88
openluchttheaters,Openluchttheater,91
geschiedenis van de beeldhouwkunst ; Verenigde Staten,geschiedenis van de beeldhouwkunst ; Nederland,85
geschiedenis van de beeldhouwkunst ; Verenigde Staten,geschiedenis van de schilderkunst ; Verenigde Staten,88
"bouwkunst ; barok, klassicisme","tekenkunst ; barok, klassicisme",85
"bouwkunst ; barok, klassicisme","beeldhouwkunst ; barok, klassicisme",92
"bouwkunst ; barok, klassicisme","kunst ; barok, klassicisme",93
Kunsthalle Bremen,Kunsthalle Emden,85
opleidingen kunstwetenschap,opleidingen cultuurwetenschap,86
opleidingen cultuurwetenschap,opleidingen kunstwetenschap,86
wet Raad voor het cultuurbeheer,Raad voor het Cultuurbeheer,90
subsidiëring,subsidiring,96
bidprentjes,bidprentje,95
devotieprentjes,devotieprent,89
empirestijl,Empire stijl,87
kunst ; hedendaags ; Verenigde Staten,beeldhouwkunst ; hedendaags ; Verenigde Staten,89
Vernissen,vernissen,89
Verzameling Bal,Verzameling,85
poezen,pezen,91
uithangtekens,Uithangtekens,92
uithangtekens,uithangstenen,85
"beeldhouwkunst ; barok, klassicisme","tekenkunst ; barok, klassicisme",85
"beeldhouwkunst ; barok, klassicisme","beeldhouwkunst ; barok, klassicisme ; Nederland",85
"beeldhouwkunst ; barok, klassicisme","bouwkunst ; barok, klassicisme",92
"beeldhouwkunst ; barok, klassicisme","kunst ; barok, klassicisme",85
beeldhouwkunst ; middeleeuwen ; Italië,beeldhouwkunst ; middeleeuwen,87
Stichting Restauratie Atelier Limburg,Stichting Restauratie Atelier Limburg (SRAL),91
schilderkunst ; middeleeuwen,schilderkunst ; middeleeuwen ; Italië,86
psychologisch onderzoek,Archeologisch onderzoek,87
Kunsthalle Emden,Kunsthalle Bremen,85
Gouache,Gouaches,93
Gouache,gouache,86
Retabels,Retabel,93
geschiedenis van de beeldhouwkunst ; Afrika,geschiedenis van de beeldhouwkunst,88
geschiedenis van de beeldhouwkunst ; Afrika,geschiedenis van de beeldhouwkunst ; Frankrijk,90
geschiedenis van de beeldhouwkunst ; Afrika,geschiedenis van de beeldhouwkunst ; Nederland,88
geschiedenis van de beeldhouwkunst ; Afrika,geschiedenis van de beeldhouwkunst ; Griekenland,90
geschiedenis van de beeldhouwkunst ; Afrika,geschiedenis van de beeldhouwkunst ; Europa,91
geschiedenis van de beeldhouwkunst ; Afrika,geschiedenis van de beeldhouwkunst ; Duitsland,88
geschiedenis van de beeldhouwkunst ; Afrika,geschiedenis van de beeldhouwkunst ; Italië,88
feesten,geesten,86
feesten,eesten,92
feesten,leesten,86
deurkasten,deurkassen,90
geschiedenis van de beeldhouwkunst ; Griekenland,geschiedenis van de bouwkunst ; Nederland,85
geschiedenis van de beeldhouwkunst ; Griekenland,geschiedenis van de beeldhouwkunst ; Frankrijk,85
geschiedenis van de beeldhouwkunst ; Griekenland,geschiedenis van de beeldhouwkunst ; Nederland,91
geschiedenis van de beeldhouwkunst ; Griekenland,geschiedenis van de beeldhouwkunst ; Afrika,90
geschiedenis van de beeldhouwkunst ; Griekenland,geschiedenis van de beeldhouwkunst ; Europa,86
geschiedenis van de beeldhouwkunst ; Griekenland,geschiedenis van de beeldhouwkunst ; Duitsland,89
cultuurhistorische collecties,natuurhistorische collecties,91
vroege geschiedenis ; Nederland,sociale geschiedenis ; Nederland,86
Monumentenraad,Monumentenjaar,86
ontwerptekeningen,ontwerptekening,94
kunst ; twintigste eeuw ; Europa,kunst ; twintigste eeuw ; Noord-Europa,91
kunst ; twintigste eeuw ; Europa,kunst ; twintigste eeuw ; Oost-Europa,93
kunst ; twintigste eeuw ; Europa,kunst ; twintigste eeuw ; Polen,86
kunst ; twintigste eeuw ; Europa,kunst ; twintigste eeuw ; Rusland,86
kunst ; twintigste eeuw ; Europa,kunst ; twintigste eeuw ; BRD,85
kunst ; twintigste eeuw ; Europa,beeldhouwkunst ; twintigste eeuw ; Europa,88
kunst ; twintigste eeuw ; Europa,schilderkunst ; twintigste eeuw ; Europa,89
grafische kunst ; negentiende eeuw,schilderkunst ; negentiende eeuw,85
grafische kunst ; negentiende eeuw,grafische kunst ; negentiende eeuw ; Frankrijk,85
grafische kunst ; negentiende eeuw,grafische kunst ; negentiende eeuw ; Japan,89
grafische kunst ; negentiende eeuw,grafische kunst ; negentiende eeuw ; Nederland,85
"biografie, biografische woordenboeken: overige","biografie, biografische woordenboeken",89
"biografie, biografische woordenboeken: overige","biografie, biografische woordenboeken: overige ; Italië",91
"biografie, biografische woordenboeken: overige","biografie, biografische woordenboeken: overige ; Frankrijk",88
kunst ; hedendaags ; Nederland,beeldhouwkunst ; hedendaags ; Nederland,87
kunst ; hedendaags ; Nederland,tekenkunst ; hedendaags ; Nederland,92
kunst ; hedendaags ; Nederland,schilderkunst ; hedendaags ; Nederland,88
kunst ; hedendaags ; Nederland,grafische kunst ; hedendaags ; Nederland,86
kunst ; hedendaags ; Nederland,kunst ; hedendaags ; Zwitserland,87
kunst ; hedendaags ; Nederland,kunst ; hedendaags ; Rusland,86
kunst ; hedendaags ; Nederland,kunst ; hedendaags ; Zweden,88
kunst ; hedendaags ; Nederland,bouwkunst ; hedendaags ; Nederland,94
geschiedenis van buitenlandse betrekkingen,geschiedenis van buitenlandse betrekkingen ; België,90
technieken en materialen (beeldhouwkunst),technieken en materialen (tekenkunst),87
technieken en materialen (beeldhouwkunst),technieken en materialen (edelsmeedkunst),88
technieken en materialen (beeldhouwkunst),technieken en materialen (glaskunst),86
geschiedenis ; vroeg-modern tijdvak ; Nederland,geschiedenis ; laat-modern tijdvak ; Nederland,90
geschiedenis ; vroeg-modern tijdvak ; Nederland,geschiedenis ; contemporain tijdvak ; Nederland,87
geschiedenis ; vroeg-modern tijdvak ; Nederland,geschiedenis ; vroeg-modern tijdvak,85
geschiedenis ; vroeg-modern tijdvak ; Nederland,geschiedenis ; vroeg-modern tijdvak ; Italië,86
geschiedenis ; vroeg-modern tijdvak ; Nederland,geschiedenis ; vroeg-modern tijdvak ; Verenigde Staten,85
"biografie, biografische woordenboeken: overige ; Italië","biografie, biografische woordenboeken: overige",91
"biografie, biografische woordenboeken: overige ; Italië","biografie, biografische woordenboeken: overige ; Frankrijk",90
"biografie, biografische woordenboeken: overige ; Frankrijk","biografie, biografische woordenboeken: overige",88
"biografie, biografische woordenboeken: overige ; Frankrijk","biografie, biografische woordenboeken: overige ; Italië",90
"onderwijs, beroepsuitoefening, organisaties (documentaire informatie)","onderwijs, beroepsuitoefening, organisaties (documentaire",90
kunst ; negentiende eeuw,schilderkunst ; negentiende eeuw,86
kunst ; negentiende eeuw,tekenkunst ; negentiende eeuw,91
kunst ; negentiende eeuw,bouwkunst ; negentiende eeuw,92
kunst ; negentiende eeuw ; Nederland,schilderkunst ; negentiende eeuw ; Nederland,90
kunst ; negentiende eeuw ; Nederland,tekenkunst ; negentiende eeuw ; Nederland,94
kunst ; negentiende eeuw ; Nederland,kunst ; negentiende eeuw ; Noorwegen,86
kunst ; negentiende eeuw ; Nederland,bouwkunst ; negentiende eeuw ; Nederland,95
kunst ; negentiende eeuw ; Nederland,beeldhouwkunst ; negentiende eeuw ; nederland,86
kunst ; negentiende eeuw ; Nederland,grafische kunst ; negentiende eeuw ; Nederland,88
kunst ; negentiende eeuw ; Nederland,schilderkunst ; zeventiende eeuw ; Nederland,85
kunst ; negentiende eeuw ; Nederland,prentkunst ; zeventiende eeuw ; Nederland,88
kunst ; negentiende eeuw ; Nederland,tekenkunst : zeventiende eeuw ; Nederland,86
bouwkunst ; hedendaags ; Nederland,beeldhouwkunst ; hedendaags ; Nederland,93
bouwkunst ; hedendaags ; Nederland,tekenkunst ; hedendaags ; Nederland,87
bouwkunst ; hedendaags ; Nederland,kunst ; hedendaags ; Nederland,94
beeldhouwkunst ; hedendaags ; België en Luxemburg,kunst ; hedendaags ; België en Luxemburg,90
beeldhouwkunst ; hedendaags ; Canada,beeldhouwkunst ; hedendaags,86
beeldhouwkunst ; hedendaags ; Canada,beeldhouwkunst ; hedendaags ; Nederland,88
beeldhouwkunst ; hedendaags ; Canada,beeldhouwkunst ; hedendaags ; Zwitserland,86
beeldhouwkunst ; hedendaags ; Canada,beeldhouwkunst ; hedendaags ; Europa,86
beeldhouwkunst ; hedendaags ; Canada,beeldhouwkunst ; hedendaags ; Italie,86
beeldhouwkunst ; hedendaags ; Groot-Brittannie,kunst ; hedendaags ; Groot-Brittannië,87
beeldhouwkunst ; hedendaags ; Europa,beeldhouwkunst ; hedendaags,86
beeldhouwkunst ; hedendaags ; Europa,beeldhouwkunst ; hedendaags ; Nederland,85
beeldhouwkunst ; hedendaags ; Europa,kunst ; hedendaags ; Europa,86
beeldhouwkunst ; hedendaags ; Europa,tekenkunst ; hedendaags ; Europa,85
beeldhouwkunst ; hedendaags ; Europa,beeldhouwkunst ; hedendaags ; Canada,86
beeldhouwkunst ; hedendaags ; Europa,beeldhouwkunst ; hedendaags ; Italie,86
beeldhouwkunst ; hedendaags ; Italie,beeldhouwkunst ; hedendaags,86
beeldhouwkunst ; hedendaags ; Italie,beeldhouwkunst ; hedendaags ; Canada,86
beeldhouwkunst ; hedendaags ; Italie,beeldhouwkunst ; hedendaags ; Europa,86
grafische kunst ; hedendaags ; Oost-Europa,grafische kunst ; hedendaags ; Noord-Europa,92
grafische kunst ; hedendaags ; Oost-Europa,grafische kunst ; hedendaags ; Israël,86
grafische kunst ; hedendaags ; Zweden,grafische kunst ; hedendaags,86
grafische kunst ; hedendaags ; Zweden,grafische kunst ; hedendaags ; Nederland,91
grafische kunst ; hedendaags ; Zweden,grafische kunst ; hedendaags ; Polen,90
grafische kunst ; hedendaags ; Zweden,grafische kunst ; hedendaags ; DDR,87
grafische kunst ; hedendaags ; Zweden,grafische kunst ; hedendaags ; Amerika,85
grafische kunst ; hedendaags ; Zweden,grafische kunst ; hedendaags ; België,86
grafische kunst ; hedendaags ; Amerika,grafische kunst ; hedendaags,85
grafische kunst ; hedendaags ; Amerika,grafische kunst ; hedendaags ; Nederland,87
grafische kunst ; hedendaags ; Amerika,grafische kunst ; hedendaags ; Polen,86
grafische kunst ; hedendaags ; Amerika,grafische kunst ; hedendaags ; DDR,86
grafische kunst ; hedendaags ; Amerika,grafische kunst ; hedendaags ; Frankrijk,87
grafische kunst ; hedendaags ; Amerika,grafische kunst ; hedendaags ; Israël,88
grafische kunst ; hedendaags ; Amerika,grafische kunst ; hedendaags ; Zweden,85
grafische kunst ; hedendaags ; Amerika,grafische kunst ; hedendaags ; België,88
grafische kunst ; hedendaags ; België,grafische kunst ; hedendaags,86
grafische kunst ; hedendaags ; België,grafische kunst ; hedendaags ; Nederland,86
grafische kunst ; hedendaags ; België,schilderkunst ; hedendaags ; België,86
grafische kunst ; hedendaags ; België,grafische kunst ; hedendaags ; Polen,88
grafische kunst ; hedendaags ; België,grafische kunst ; hedendaags ; DDR,87
grafische kunst ; hedendaags ; België,grafische kunst ; hedendaags ; Israël,86
grafische kunst ; hedendaags ; België,grafische kunst ; hedendaags ; Zweden,86
grafische kunst ; hedendaags ; België,grafische kunst ; hedendaags ; Amerika,88
archeologie ; middeleeuws en postmiddeleeuws,archeologie ; middeleeuws en postmiddeleeuws  ; België,90
archeologie ; middeleeuws en postmiddeleeuws,archeologie ; middeleeuws en postmiddeleeuws ; Nederland,88
archeologie ; middeleeuws en postmiddeleeuws ; Nederland,archeologie ; middeleeuws en postmiddeleeuws  ; België,89
archeologie ; middeleeuws en postmiddeleeuws ; Nederland,archeologie ; middeleeuws en postmiddeleeuws,88
schilderkunst ; hedendaags ; Groot-Brittannië,kunst ; hedendaags ; Groot-Brittannië,90
schilderkunst ; hedendaags ; Groot-Brittannië,grafische kunst ; hedendaags ; Groot-Brittannië,89
glaskunst ; Nederland,glasraamkunst ; Nederland,91
glaskunst ; Nederland,volkskunst ; Nederland,88
"kunst ; barok, klassicisme ; Europa","kunst ; barok, klassicisme ; Frankrijk",85
"kunst ; barok, klassicisme ; Europa","kunst ; barok, klassicisme ; Duitsland",85
"kunst ; barok, klassicisme ; Europa","kunst ; barok, klassicisme ; Italië",86
"kunst ; barok, klassicisme ; Europa","kunst ; barok, klassicisme ; Nederland",85
"kunst ; barok, klassicisme ; Europa","schilderkunst ; barok, klassicisme ; Europa",90
"kunst ; barok, klassicisme ; Europa","kunst ; barok, klassicisme",85
geschiedenis ; vroeg-modern tijdvak,geschiedenis ; laat-modern tijdvak,87
geschiedenis ; vroeg-modern tijdvak,geschiedenis ; vroeg-modern tijdvak ; Nederland,85
geschiedenis ; vroeg-modern tijdvak,geschiedenis ; vroeg-modern tijdvak ; Italië,89
geschiedenis ; vroeg-modern tijdvak ; Italië,geschiedenis ; vroeg-modern tijdvak ; Nederland,86
geschiedenis ; vroeg-modern tijdvak ; Italië,geschiedenis ; vroeg-modern tijdvak,89
geschiedenis ; vroeg-modern tijdvak ; Verenigde Staten,geschiedenis ; vroeg-modern tijdvak ; Nederland,85
"kunst ; barok, klassicisme ; Frankrijk","tekenkunst ; barok, klassicisme ; Frankrijk",94
"kunst ; barok, klassicisme ; Frankrijk","kunst ; barok, klassicisme ; Europa",85
"kunst ; barok, klassicisme ; Frankrijk","kunst ; barok, klassicisme ; Italië",85
"kunst ; barok, klassicisme ; Frankrijk","grafische kunst ; barok, klassicisme ; Frankrijk",88
"kunst ; barok, klassicisme ; Frankrijk","schilderkunst ; barok, klassicisme ; Frankrijk",90
tekenkunst ; twintigste eeuw ; Duitsland,tekenkunst ; twintigste eeuw ; Nederland,88
tekenkunst ; twintigste eeuw ; Duitsland,beeldhouwkunst ; twintigste eeuw ; Duitsland,88
tekenkunst ; twintigste eeuw ; Duitsland,kunst ; twintigste eeuw ; Rusland,88
tekenkunst ; twintigste eeuw ; Duitsland,kunst ; twintigste eeuw ; Duitsland,93
tekenkunst ; twintigste eeuw ; Duitsland,bouwkunst ; twintigste eeuw ; Duitsland,89
tekenkunst ; twintigste eeuw ; Duitsland,grafische kunst ; twintigste eeuw ; Duitsland,85
tekenkunst ; twintigste eeuw ; Duitsland,tekenkunst ; twintigste eeuw ; BDR,86
tekenkunst ; twintigste eeuw ; Duitsland,schilderkunst ; twintigste eeuw ; Duitsland,87
grafische kunst ; twintigste eeuw ; Duitsland,grafische kunst ; twintigste eeuw,85
grafische kunst ; twintigste eeuw ; Duitsland,grafische kunst ; twintigste eeuw ; Nederland,89
grafische kunst ; twintigste eeuw ; Duitsland,grafische kunst ; twintigste eeuw ; Italië,87
grafische kunst ; twintigste eeuw ; Duitsland,grafische kunst ; twintigste eeuw ; Denemarken,86
grafische kunst ; twintigste eeuw ; Duitsland,grafische kunst ; twintigste eeuw ; Spanje,87
grafische kunst ; twintigste eeuw ; Duitsland,kunst ; twintigste eeuw ; Duitsland,88
grafische kunst ; twintigste eeuw ; Duitsland,tekenkunst ; twintigste eeuw ; Duitsland,85
grafische kunst ; twintigste eeuw ; Duitsland,schilderkunst ; twintigste eeuw ; Duitsland,89
beeldhouwkunst ; twintigste eeuw ; BRD,beeldhouwkunst ; twintigste eeuw,91
beeldhouwkunst ; twintigste eeuw ; BRD,beeldhouwkunst ; twintigste eeuw ; Nederland,85
beeldhouwkunst ; twintigste eeuw ; BRD,beeldhouwkunst ; twintigste eeuw ; Frankrijk,85
beeldhouwkunst ; twintigste eeuw ; BRD,beeldhouwkunst ; twintigste eeuw ; Duitsland,88
beeldhouwkunst ; twintigste eeuw ; BRD,kunst ; twintigste eeuw ; BRD,87
beeldhouwkunst ; twintigste eeuw ; BRD,beeldhouwkunst ; twintigste eeuw ; Europa,89
tekenkunst ; twintigste eeuw ; BDR,tekenkunst ; twintigste eeuw,90
tekenkunst ; twintigste eeuw ; BDR,kunst ; twintigste eeuw ; BRD,89
tekenkunst ; twintigste eeuw ; BDR,tekenkunst ; twintigste eeuw ; Duitsland,86
schilderkunst ; twintigste eeuw ; Japan,schilderkunst ; twintigste eeuw,89
schilderkunst ; twintigste eeuw ; Japan,schilderkunst ; twintigste eeuw ; Nederland,88
schilderkunst ; twintigste eeuw ; Japan,schilderkunst ; twintigste eeuw ; België,86
schilderkunst ; twintigste eeuw ; Japan,schilderkunst ; twintigste eeuw ; Oost-Europa,86
schilderkunst ; twintigste eeuw ; Japan,schilderkunst ; twintigste eeuw ; Spanje,94
schilderkunst ; twintigste eeuw ; Japan,schilderkunst ; twintigste eeuw ; Rusland,90
schilderkunst ; twintigste eeuw ; Japan,schilderkunst ; twintigste eeuw ; Frankrijk,88
schilderkunst ; twintigste eeuw ; Japan,schilderkunst ; twintigste eeuw ; Europa,91
schilderkunst ; twintigste eeuw ; Japan,schilderkunst ; twintigste eeuw ; Duitsland,88
schilderkunst ; twintigste eeuw ; Groot-Brittannië,schilderkunst ; negentiende eeuw ; Groot-Brittannië,87
schilderkunst ; twintigste eeuw ; Groot-Brittannië,kunst ; twintigste eeuw ; Groot-Brittannië,91
schilderkunst ; twintigste eeuw ; Frankrijk,schilderkunst ; twintigste eeuw ; Nederland,86
schilderkunst ; twintigste eeuw ; Frankrijk,beeldhouwkunst ; twintigste eeuw ; Frankrijk,85
schilderkunst ; twintigste eeuw ; Frankrijk,kunst ; twintigste eeuw ; Frankrijk,90
schilderkunst ; twintigste eeuw ; Frankrijk,grafische kunst ; twintigste eeuw ; Frankrijk,89
schilderkunst ; twintigste eeuw ; Frankrijk,schilderkunst ; twintigste eeuw ; Spanje,89
schilderkunst ; twintigste eeuw ; Frankrijk,schilderkunst ; twintigste eeuw ; Rusland,86
schilderkunst ; twintigste eeuw ; Frankrijk,schilderkunst ; twintigste eeuw ; Japan,88
schilderkunst ; twintigste eeuw ; Frankrijk,schilderkunst ; twintigste eeuw ; Europa,87
schilderkunst ; twintigste eeuw ; Frankrijk,schilderkunst ; negentiende eeuw ; Frankrijk,85
beeldhouwkunst ; twintigste eeuw ; Europa,beeldhouwkunst ; twintigste eeuw,88
beeldhouwkunst ; twintigste eeuw ; Europa,beeldhouwkunst ; twintigste eeuw ; Nederland,87
beeldhouwkunst ; twintigste eeuw ; Europa,beeldhouwkunst ; twintigste eeuw ; Frankrijk,87
beeldhouwkunst ; twintigste eeuw ; Europa,beeldhouwkunst ; twintigste eeuw ; Duitsland,87
beeldhouwkunst ; twintigste eeuw ; Europa,kunst ; twintigste eeuw ; Europa,88
beeldhouwkunst ; twintigste eeuw ; Europa,beeldhouwkunst ; twintigste eeuw ; BRD,89
schilderkunst ; twintigste eeuw ; Europa,schilderkunst ; twintigste eeuw,87
schilderkunst ; twintigste eeuw ; Europa,schilderkunst ; twintigste eeuw ; Nederland,87
schilderkunst ; twintigste eeuw ; Europa,schilderkunst ; twintigste eeuw ; België,85
schilderkunst ; twintigste eeuw ; Europa,schilderkunst ; twintigste eeuw ; Oost-Europa,94
schilderkunst ; twintigste eeuw ; Europa,schilderkunst ; twintigste eeuw ; Spanje,90
schilderkunst ; twintigste eeuw ; Europa,schilderkunst ; twintigste eeuw ; Rusland,89
schilderkunst ; twintigste eeuw ; Europa,kunst ; twintigste eeuw ; Europa,89
schilderkunst ; twintigste eeuw ; Europa,schilderkunst ; twintigste eeuw ; Japan,91
schilderkunst ; twintigste eeuw ; Europa,schilderkunst ; twintigste eeuw ; Frankrijk,87
schilderkunst ; twintigste eeuw ; Europa,schilderkunst ; twintigste eeuw ; Duitsland,87
schilderkunst ; negentiende eeuw ; Europa,schilderkunst ; negentiende eeuw,88
schilderkunst ; negentiende eeuw ; Europa,schilderkunst ; negentiende eeuw ; Nederland,87
schilderkunst ; negentiende eeuw ; Europa,schilderkunst ; negentiende eeuw ; België,85
schilderkunst ; negentiende eeuw ; Europa,kunst ; negentiende eeuw ; Europa,89
schilderkunst ; negentiende eeuw ; Europa,schilderkunst ; negentiende eeuw ; Joegoslavië,85
schilderkunst ; negentiende eeuw ; Europa,schilderkunst ; negentiende eeuw ; Noord-Europa,93
schilderkunst ; negentiende eeuw ; Europa,schilderkunst ; negentiende eeuw ; Duitsland,87
schilderkunst ; negentiende eeuw ; Europa,schilderkunst ; negentiende eeuw ; Frankrijk,87
schilderkunst ; twintigste eeuw ; Duitsland,schilderkunst ; twintigste eeuw ; Nederland,88
schilderkunst ; twintigste eeuw ; Duitsland,beeldhouwkunst ; twintigste eeuw ; Duitsland,85
schilderkunst ; twintigste eeuw ; Duitsland,schilderkunst ; twintigste eeuw ; Spanje,87
schilderkunst ; twintigste eeuw ; Duitsland,kunst ; twintigste eeuw ; Duitsland,90
schilderkunst ; twintigste eeuw ; Duitsland,schilderkunst ; twintigste eeuw ; Rusland,95
schilderkunst ; twintigste eeuw ; Duitsland,bouwkunst ; twintigste eeuw ; Duitsland,85
schilderkunst ; twintigste eeuw ; Duitsland,schilderkunst ; negentiende eeuw ; Duitsland,85
schilderkunst ; twintigste eeuw ; Duitsland,tekenkunst ; twintigste eeuw ; Duitsland,87
schilderkunst ; twintigste eeuw ; Duitsland,grafische kunst ; twintigste eeuw ; Duitsland,89
schilderkunst ; twintigste eeuw ; Duitsland,schilderkunst ; twintigste eeuw ; Japan,88
schilderkunst ; twintigste eeuw ; Duitsland,schilderkunst ; twintigste eeuw ; Europa,87
muziekgeschiedenis ; barok,muziekgeschiedenis ; romantiek,86
"kunst ; barok, klassicisme ; Denemarken","kunst ; barok, klassicisme ; Nederland",86
"kunst ; barok, klassicisme ; Duitsland","kunst ; barok, klassicisme ; Europa",85
"kunst ; barok, klassicisme ; Duitsland","kunst ; barok, klassicisme ; Italië",85
"kunst ; barok, klassicisme ; Duitsland","kunst ; barok, klassicisme ; Nederland",87
kunst ; negentiende eeuw ; Frankrijk,grafische kunst ; negentiende eeuw ; Frankrijk,88
kunst ; negentiende eeuw ; Frankrijk,tekenkunst ; negentiende eeuw ; Frankrijk,94
kunst ; negentiende eeuw ; Frankrijk,kunst ; negentiende eeuw ; Oostenrijk,88
kunst ; negentiende eeuw ; Frankrijk,schilderkunst ; negentiende eeuw ; Frankrijk,90
"kunst ; barok, klassicisme ; Groot-Brittannië","schilderkunst ; barok, klassicisme ; Groot-Brittannië",92
kunst ; twintigste eeuws ; Italië,grafische kunst ; twintigste eeuw ; Italië,85
kunst ; twintigste eeuws ; Italië,kunst ; twintigste eeuw ; italië,95
kunst ; negentiende eeuw ; Italië,kunst ; negentiende eeuw ; Europa,85
kunst ; negentiende eeuw ; Italië,kunst ; negentiende eeuw ; België,91
"kunst ; barok, klassicisme ; Italië","schilderkunst ; barok, klassicisme ; Italië",90
"kunst ; barok, klassicisme ; Italië","tekenkunst ; barok, klassicisme ; Italië",93
"kunst ; barok, klassicisme ; Italië","grafische kunst ; barok, klassicisme ; Italië",88
"kunst ; barok, klassicisme ; Italië","kunst ; barok, klassicisme ; Europa",86
"kunst ; barok, klassicisme ; Italië","kunst ; barok, klassicisme ; Frankrijk",85
"kunst ; barok, klassicisme ; Italië","kunst ; barok, klassicisme ; Duitsland",85
"kunst ; barok, klassicisme ; Italië","kunst ; barok, klassicisme",85
"kunst ; barok, klassicisme ; Nederland","tekenkunst ; barok, klassicisme ;  Nederland",93
"kunst ; barok, klassicisme ; Nederland","schilderkunst ; barok, klassicisme ; Nederland",90
"kunst ; barok, klassicisme ; Nederland","beeldhouwkunst ; barok, klassicisme ; Nederland",89
"kunst ; barok, klassicisme ; Nederland","bouwkunst ; barok, klassicisme ; Nederland",95
"kunst ; barok, klassicisme ; Nederland","kunst ; barok, klassicisme ; Europa",85
"kunst ; barok, klassicisme ; Nederland","kunst ; barok, klassicisme ; Denemarken",86
"kunst ; barok, klassicisme ; Nederland","kunst ; barok, klassicisme ; Duitsland",87
"kunst ; barok, klassicisme ; Nederland","grafische kunst ; barok, klassicisme ; Nederland",88
"kunst ; barok, klassicisme ; België en Luxemburg","tekenkunst ; barok, klassicisme ; België en Luxemburg",95
"grafische kunst ; barok, klassicisme ; Nederland","grafische kunst ; barok, klassicisme",86
"grafische kunst ; barok, klassicisme ; Nederland","tekenkunst ; barok, klassicisme ;  Nederland",85
"grafische kunst ; barok, klassicisme ; Nederland","schilderkunst ; barok, klassicisme ; Nederland",89
"grafische kunst ; barok, klassicisme ; Nederland","grafische kunst ; barok, klassicisme ; Italië",86
"grafische kunst ; barok, klassicisme ; Nederland","kunst ; barok, klassicisme ; Nederland",88
"grafische kunst ; barok, klassicisme ; Nederland","grafische kunst ; barok, klassicisme ; Frankrijk",88
"grafische kunst ; barok, klassicisme ; Frankrijk","grafische kunst ; barok, klassicisme",86
"grafische kunst ; barok, klassicisme ; Frankrijk","tekenkunst ; barok, klassicisme ; Frankrijk",86
"grafische kunst ; barok, klassicisme ; Frankrijk","grafische kunst ; barok, klassicisme ; Italië",88
"grafische kunst ; barok, klassicisme ; Frankrijk","kunst ; barok, klassicisme ; Frankrijk",88
"grafische kunst ; barok, klassicisme ; Frankrijk","grafische kunst ; barok, klassicisme ; Nederland",88
"grafische kunst ; barok, klassicisme ; Frankrijk","schilderkunst ; barok, klassicisme ; Frankrijk",89
grafische kunst ; negentiende eeuw ; Nederland,schilderkunst ; negentiende eeuw ; Nederland,89
grafische kunst ; negentiende eeuw ; Nederland,tekenkunst ; negentiende eeuw ; Nederland,85
grafische kunst ; negentiende eeuw ; Nederland,grafische kunst ; twintigste eeuw ; Nederland,86
grafische kunst ; negentiende eeuw ; Nederland,grafische kunst ; negentiende eeuw ; Frankrijk,87
grafische kunst ; negentiende eeuw ; Nederland,grafische kunst ; negentiende eeuw ; Japan,89
grafische kunst ; negentiende eeuw ; Nederland,grafische kunst ; negentiende eeuw,85
grafische kunst ; negentiende eeuw ; Nederland,kunst ; negentiende eeuw ; Nederland,88
geschiedenis van de tekenkunst ; Nederland,geschiedenis van de schilderkunst ; Nederland,87
geschiedenis van de tekenkunst ; Nederland,geschiedenis van de bouwkunst ; Nederland,89
geschiedenis van de tekenkunst ; Nederland,geschiedenis van de tekenkunst ; Frankrijk,86
geschiedenis van de tekenkunst ; Nederland,geschiedenis van de tekenkunst ; Europa,86
geschiedenis van de tekenkunst ; Nederland,geschiedenis van de grafische kunst ; Nederland,85
geschiedenis van de tekenkunst ; Nederland,geschiedenis van de beeldhouwkunst ; Nederland,89
"schilderkunst ; barok, klassicisme ; Europa","schilderkunst ; barok, klassicisme",88
"schilderkunst ; barok, klassicisme ; Europa","schilderkunst ; barok, klassicisme ; Nederland",88
"schilderkunst ; barok, klassicisme ; Europa","schilderkunst ; barok, klassicisme ; Spanje",91
"schilderkunst ; barok, klassicisme ; Europa","schilderkunst ; barok, klassicisme ; Italië",88
"schilderkunst ; barok, klassicisme ; Europa","kunst ; barok, klassicisme ; Europa",90
"schilderkunst ; barok, klassicisme ; Europa","schilderkunst ; barok, klassicisme ; Frankrijk",88
"schilderkunst ; barok, klassicisme ; Europa","schilderkunst ; barok, klassicisme ; België",86
schilderkunst ; negentiende eeuw ; Frankrijk,schilderkunst ; negentiende eeuw ; Nederland,86
